epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,105.108,0.70689,0.82675,0.98999,1,0.35305,0.59793,0.32157,1.34252,2.86162,1.53075,0.000490762,0.000490762,0.000490762
61,105.718,0.69492,1.1101,1.01917,1,0.35305,0.59793,0.32157,1.34252,2.86162,1.53075,0.0004872,0.0004872,0.0004872
62,106.303,0.76588,0.91508,0.98311,1,0.35305,0.59793,0.32157,1.34252,2.86162,1.53075,0.000483242,0.000483242,0.000483242
63,106.971,0.78017,0.92961,1.01447,1,0.36136,0.70204,0.31548,1.17645,2.77723,1.44612,0.000478888,0.000478888,0.000478888
64,107.58,0.68152,0.97747,0.98388,1,0.36136,0.70204,0.31548,1.17645,2.77723,1.44612,0.000474138,0.000474138,0.000474138
65,108.191,0.6814,1.0151,0.96945,1,0.36136,0.70204,0.31548,1.17645,2.77723,1.44612,0.000468992,0.000468992,0.000468992
66,108.847,0.62638,0.83792,0.95657,1,0.37324,0.70181,0.38951,1.07657,2.63072,1.39679,0.00046345,0.00046345,0.00046345
67,109.436,0.66253,0.80887,0.96078,1,0.37324,0.70181,0.38951,1.07657,2.63072,1.39679,0.000457512,0.000457512,0.000457512
68,110.032,0.66973,0.92257,0.98256,1,0.37324,0.70181,0.38951,1.07657,2.63072,1.39679,0.000451178,0.000451178,0.000451178
69,110.651,0.70054,0.90684,0.99221,1,0.59436,0.80004,0.50223,1.12918,2.53713,1.47065,0.000444448,0.000444448,0.000444448
70,117.619,0.64606,0.84644,0.93352,1,0.59436,0.80004,0.50223,1.12918,2.53713,1.47065,0.000437322,0.000437322,0.000437322
71,118.23,0.65487,0.81859,0.93798,1,0.59436,0.80004,0.50223,1.12918,2.53713,1.47065,0.0004298,0.0004298,0.0004298
72,118.842,0.60884,0.88373,0.92586,0.83765,0.625,0.82352,0.45159,1.28432,2.39781,1.51103,0.000421882,0.000421882,0.000421882
73,119.454,0.64867,0.87719,0.9977,0.83765,0.625,0.82352,0.45159,1.28432,2.39781,1.51103,0.000413568,0.000413568,0.000413568
74,120.012,0.62849,0.76136,0.9283,0.83765,0.625,0.82352,0.45159,1.28432,2.39781,1.51103,0.000404858,0.000404858,0.000404858
75,120.613,0.76785,0.87966,1.0705,1,0.74796,0.87611,0.46127,1.37424,2.16145,1.59196,0.000395752,0.000395752,0.000395752
76,121.169,0.62385,0.83304,0.95273,1,0.74796,0.87611,0.46127,1.37424,2.16145,1.59196,0.00038625,0.00038625,0.00038625
77,128.078,0.56112,0.82247,0.90757,1,0.74796,0.87611,0.46127,1.37424,2.16145,1.59196,0.000376352,0.000376352,0.000376352
78,128.67,0.55184,0.76343,0.90471,1,0.82719,0.96227,0.4642,1.42439,1.85907,1.60183,0.000366058,0.000366058,0.000366058
79,129.219,0.51331,0.69551,0.90406,1,0.82719,0.96227,0.4642,1.42439,1.85907,1.60183,0.000355368,0.000355368,0.000355368
80,129.772,0.59515,0.92413,0.96164,1,0.82719,0.96227,0.4642,1.42439,1.85907,1.60183,0.000344282,0.000344282,0.000344282
81,130.411,0.6748,0.94098,0.99326,0.98271,0.75,0.89431,0.50014,1.26955,1.86786,1.43137,0.0003328,0.0003328,0.0003328
82,131,0.61272,0.8213,0.92951,0.98271,0.75,0.89431,0.50014,1.26955,1.86786,1.43137,0.000320922,0.000320922,0.000320922
83,131.564,0.6233,0.88526,0.9898,0.98271,0.75,0.89431,0.50014,1.26955,1.86786,1.43137,0.000308648,0.000308648,0.000308648
84,132.175,0.5939,0.88575,0.9691,0.86954,0.83678,0.88739,0.53847,1.27177,1.81985,1.36884,0.000295978,0.000295978,0.000295978
85,132.812,0.61489,0.84825,0.93503,0.86954,0.83678,0.88739,0.53847,1.27177,1.81985,1.36884,0.000282912,0.000282912,0.000282912
86,140.59,0.66717,0.81286,0.889,0.86954,0.83678,0.88739,0.53847,1.27177,1.81985,1.36884,0.00026945,0.00026945,0.00026945
87,141.217,0.47698,0.7285,0.90144,0.86954,0.83678,0.88739,0.53847,1.27177,1.81985,1.36884,0.000255592,0.000255592,0.000255592
88,141.885,0.6196,0.81931,0.91995,1,0.8488,0.939,0.60254,1.2354,1.69577,1.29583,0.000241338,0.000241338,0.000241338
89,156.764,0.55157,0.74863,0.94217,1,0.8488,0.939,0.60254,1.2354,1.69577,1.29583,0.000226688,0.000226688,0.000226688
90,157.391,0.72954,0.88032,1.06728,1,0.8488,0.939,0.60254,1.2354,1.69577,1.29583,0.000211642,0.000211642,0.000211642
91,158.801,0.48406,0.96275,0.83189,1,0.8488,0.939,0.60254,1.2354,1.69577,1.29583,0.0001962,0.0001962,0.0001962
92,159.555,0.46349,0.92841,0.8761,0.9883,0.75,0.9326,0.66613,1.07921,1.52276,1.18921,0.000180362,0.000180362,0.000180362
93,160.264,0.48671,0.92245,0.94377,0.9883,0.75,0.9326,0.66613,1.07921,1.52276,1.18921,0.000164128,0.000164128,0.000164128
94,160.881,0.53438,0.98957,1.00383,0.9883,0.75,0.9326,0.66613,1.07921,1.52276,1.18921,0.000147498,0.000147498,0.000147498
95,161.499,0.39442,0.86499,0.91772,0.9883,0.75,0.9326,0.66613,1.07921,1.52276,1.18921,0.000130472,0.000130472,0.000130472
96,162.163,0.57237,0.92137,0.89176,1,0.95628,0.995,0.71029,1.01656,1.43914,1.1347,0.00011305,0.00011305,0.00011305
97,162.774,0.53322,0.92378,0.86476,1,0.95628,0.995,0.71029,1.01656,1.43914,1.1347,9.5232e-05,9.5232e-05,9.5232e-05
98,163.405,0.47206,0.91231,0.9455,1,0.95628,0.995,0.71029,1.01656,1.43914,1.1347,7.7018e-05,7.7018e-05,7.7018e-05
99,164.028,0.44041,0.91257,0.84231,1,0.95628,0.995,0.71029,1.01656,1.43914,1.1347,5.8408e-05,5.8408e-05,5.8408e-05
100,164.688,0.52292,0.91886,0.91974,1,0.98425,0.995,0.78827,0.87486,1.29965,1.03905,3.9402e-05,3.9402e-05,3.9402e-05
