epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,90.9239,0.73073,1.00324,1.00227,1,0.24011,0.41426,0.26538,1.50595,3.01301,1.62689,0.000706048,0.000706048,0.000706048
58,91.4974,0.72384,0.97866,1.02736,1,0.24011,0.41426,0.26538,1.50595,3.01301,1.62689,0.000711132,0.000711132,0.000711132
59,92.0619,0.74747,0.97911,0.99407,1,0.24011,0.41426,0.26538,1.50595,3.01301,1.62689,0.000715952,0.000715952,0.000715952
60,92.6752,0.71821,0.89906,0.9803,1,0.24596,0.53604,0.29565,1.43178,2.98058,1.57428,0.000720508,0.000720508,0.000720508
61,93.38,0.78461,1.16848,1.09947,1,0.24596,0.53604,0.29565,1.43178,2.98058,1.57428,0.0007248,0.0007248,0.0007248
62,100.52,0.83975,1.04426,1.00952,1,0.24596,0.53604,0.29565,1.43178,2.98058,1.57428,0.000728828,0.000728828,0.000728828
63,101.142,0.75591,0.96431,1.01742,0.8253,0.25,0.48796,0.24899,1.47603,3.12396,1.62768,0.000732592,0.000732592,0.000732592
64,101.713,0.69216,0.99389,0.95653,0.8253,0.25,0.48796,0.24899,1.47603,3.12396,1.62768,0.000736092,0.000736092,0.000736092
65,102.289,0.83704,1.1283,1.01825,0.8253,0.25,0.48796,0.24899,1.47603,3.12396,1.62768,0.000739328,0.000739328,0.000739328
66,102.909,0.6432,0.85254,0.93845,0.55632,0.25,0.42086,0.22898,1.40537,3.11062,1.6276,0.0007423,0.0007423,0.0007423
67,103.489,0.69297,0.83413,0.94179,0.55632,0.25,0.42086,0.22898,1.40537,3.11062,1.6276,0.000745008,0.000745008,0.000745008
68,104.192,0.72701,0.95028,1.00254,0.55632,0.25,0.42086,0.22898,1.40537,3.11062,1.6276,0.000747452,0.000747452,0.000747452
69,104.804,0.7367,0.92265,1.00146,0.74099,0.36149,0.43547,0.26307,1.60172,3.05703,1.76925,0.000749632,0.000749632,0.000749632
70,105.38,0.73805,0.85405,0.96572,0.74099,0.36149,0.43547,0.26307,1.60172,3.05703,1.76925,0.000751548,0.000751548,0.000751548
